,Gender,Shift,Injury Location,Age_grouping,scaled_DaysLost,scaled_IncidentCost,Incident Type_Burn,Incident Type_Crush & Pinch,Incident Type_Cut,Incident Type_Equipment,Incident Type_Fall,Incident Type_Falling object,Incident Type_Lifting,Incident Type_Slip/trip,Incident Type_Vehicle
0,0,1,0,2,0.0,1.0,1,0,0,0,0,0,0,0,0
1,1,0,0,1,0.0,0.9988,0,0,1,0,0,0,0,0,0
2,0,0,0,3,1.0,0.9938,0,0,0,0,0,0,1,0,0
3,1,0,1,5,0.5,0.9894000000000001,0,0,0,0,0,0,1,0,0
4,0,0,0,2,0.6000000000000001,0.9880000000000001,0,0,0,0,0,0,1,0,0
5,0,0,2,2,0.0,0.9866,0,0,0,0,1,0,0,0,0
6,1,1,0,5,0.4,0.9816,0,0,0,0,0,0,1,0,0
7,0,1,2,3,0.0,0.9810000000000001,0,0,0,0,0,0,1,0,0
8,0,1,0,1,1.0,0.9758,0,0,0,0,0,1,0,0,0
9,0,1,2,5,0.7000000000000001,0.9744,0,1,0,0,0,0,0,0,0
10,1,1,0,3,0.0,0.9742000000000001,0,0,0,0,0,1,0,0,0
11,0,1,3,3,0.30000000000000004,0.9742000000000001,0,0,0,0,0,0,0,1,0
12,0,0,0,3,0.0,0.9672000000000001,0,0,0,0,0,0,0,0,1
13,0,0,3,5,0.0,0.9668,0,0,1,0,0,0,0,0,0
16,0,0,4,3,0.0,0.9582,0,0,0,0,0,0,0,1,0
17,0,1,0,2,0.30000000000000004,0.9562,1,0,0,0,0,0,0,0,0
18,0,1,1,5,0.8,0.9542,0,1,0,0,0,0,0,0,0
19,0,1,4,3,0.8,0.9486,0,0,0,0,1,0,0,0,0
20,0,1,1,2,0.0,0.9482,0,0,0,0,0,0,1,0,0
21,0,1,0,2,0.30000000000000004,0.9462,0,0,0,0,0,1,0,0,0
23,0,0,1,3,0.0,0.9396,0,0,0,0,0,0,1,0,0
24,0,1,2,3,0.0,0.937,0,0,0,0,0,0,0,0,1
25,0,1,3,2,0.0,0.9328000000000001,1,0,0,0,0,0,0,0,0
26,0,1,1,5,0.0,0.9278000000000001,1,0,0,0,0,0,0,0,0
27,0,1,4,2,0.30000000000000004,0.9236000000000001,0,0,0,0,0,1,0,0,0
30,0,0,2,5,0.5,0.9126000000000001,0,0,0,0,0,1,0,0,0
31,1,1,3,3,0.0,0.906,0,0,0,0,1,0,0,0,0
33,0,1,2,2,0.0,0.891,1,0,0,0,0,0,0,0,0
34,0,1,2,2,0.0,0.8888,0,0,0,1,0,0,0,0,0
35,0,1,1,5,0.30000000000000004,0.8828,1,0,0,0,0,0,0,0,0
36,0,1,0,5,0.9,0.8822000000000001,0,0,0,1,0,0,0,0,0
37,0,1,0,2,0.9,0.8798,0,0,0,0,1,0,0,0,0
38,0,0,1,5,1.0,0.8746,1,0,0,0,0,0,0,0,0
39,0,1,0,3,0.0,0.8732000000000001,0,0,0,0,1,0,0,0,0
40,0,0,1,1,0.6000000000000001,0.8606,0,0,0,0,1,0,0,0,0
41,0,1,0,2,0.0,0.8584,0,0,0,0,0,0,0,1,0
42,0,1,0,2,0.0,0.8576,0,1,0,0,0,0,0,0,0
44,1,0,1,2,0.0,0.8520000000000001,1,0,0,0,0,0,0,0,0
45,0,0,2,2,0.0,0.8518,0,0,0,0,0,0,0,0,1
46,1,0,0,3,0.0,0.8494,0,0,0,0,1,0,0,0,0
47,0,1,0,3,0.0,0.8492000000000001,0,0,0,0,0,0,0,1,0
48,0,1,0,3,0.0,0.8458,0,1,0,0,0,0,0,0,0
49,0,1,1,1,0.0,0.8426,0,0,1,0,0,0,0,0,0
50,0,0,0,2,0.0,0.8352,0,0,0,1,0,0,0,0,0
51,0,0,4,3,0.4,0.8320000000000001,0,0,0,0,0,0,0,0,1
52,0,1,3,2,0.0,0.8300000000000001,0,0,0,0,0,0,0,1,0
53,0,1,4,2,0.0,0.8298000000000001,0,0,0,0,1,0,0,0,0
55,0,1,3,2,0.0,0.8260000000000001,0,0,0,1,0,0,0,0,0
57,1,1,2,5,0.0,0.8042,0,0,0,0,0,0,1,0,0
58,0,1,2,5,0.0,0.8032,0,0,0,0,0,1,0,0,0
59,0,1,2,5,0.8,0.7938000000000001,0,0,0,0,0,0,1,0,0
60,0,1,4,3,0.2,0.7918000000000001,0,1,0,0,0,0,0,0,0
61,0,1,0,5,0.2,0.7908000000000001,0,0,0,0,0,0,1,0,0
62,0,1,4,2,0.0,0.7742,0,0,0,0,0,0,0,0,1
63,0,1,2,2,0.0,0.7702,0,0,1,0,0,0,0,0,0
64,0,1,3,2,0.0,0.7698,1,0,0,0,0,0,0,0,0
65,1,1,1,2,0.6000000000000001,0.7692,1,0,0,0,0,0,0,0,0
66,0,0,0,3,0.0,0.7692,0,1,0,0,0,0,0,0,0
67,0,1,0,2,0.7000000000000001,0.7648,0,0,0,0,0,0,0,1,0
68,0,0,3,1,0.5,0.7634000000000001,1,0,0,0,0,0,0,0,0
69,1,0,2,5,0.9,0.7568,0,0,0,1,0,0,0,0,0
70,1,0,0,2,0.5,0.7468,0,0,0,0,1,0,0,0,0
72,0,0,2,2,0.0,0.7426,0,0,0,0,0,0,1,0,0
73,0,1,4,5,1.0,0.7384000000000001,0,0,0,0,0,1,0,0,0
74,0,1,2,2,0.8,0.736,0,0,0,0,0,0,0,0,1
75,0,1,2,2,0.2,0.7314,0,1,0,0,0,0,0,0,0
76,0,1,3,5,0.9,0.7176,0,0,0,0,0,1,0,0,0
77,0,1,3,3,0.2,0.7164,0,0,0,1,0,0,0,0,0
78,0,0,4,3,0.4,0.7098,0,0,0,0,0,0,0,1,0
79,0,1,1,3,0.8,0.6996,0,0,0,1,0,0,0,0,0
80,0,1,4,5,0.5,0.6976,0,0,0,0,0,0,0,1,0
81,0,1,1,3,0.0,0.6974,0,0,1,0,0,0,0,0,0
82,0,1,0,5,0.6000000000000001,0.685,0,1,0,0,0,0,0,0,0
83,0,0,3,3,0.0,0.6838000000000001,0,0,0,0,0,0,0,0,1
85,0,1,3,2,0.0,0.6822,0,0,0,1,0,0,0,0,0
86,0,1,1,3,0.0,0.6794,0,0,0,0,0,1,0,0,0
87,0,0,2,3,0.0,0.6758000000000001,0,0,0,0,0,0,0,1,0
88,0,1,0,5,0.7000000000000001,0.6756,0,0,0,0,0,0,0,1,0
90,0,0,2,2,0.0,0.6678000000000001,0,0,0,1,0,0,0,0,0
91,0,1,3,3,0.9,0.6598,0,1,0,0,0,0,0,0,0
92,0,0,1,2,0.0,0.6572,0,0,0,1,0,0,0,0,0
93,0,1,3,3,0.0,0.6538,0,0,0,0,0,0,0,1,0
94,0,1,4,5,0.2,0.6512,0,0,0,0,0,1,0,0,0
95,0,1,1,5,0.0,0.6442,0,0,0,0,0,1,0,0,0
96,0,1,0,2,0.0,0.6408,0,0,0,0,0,0,0,1,0
97,0,1,2,1,0.4,0.6406000000000001,1,0,0,0,0,0,0,0,0
98,0,1,3,3,0.9,0.634,0,0,0,1,0,0,0,0,0
99,0,0,0,2,0.9,0.6292,0,0,0,0,0,0,0,1,0
100,0,0,2,2,0.7000000000000001,0.6268,0,0,0,0,1,0,0,0,0
101,0,1,0,1,0.0,0.6168,0,0,0,0,0,1,0,0,0
102,0,0,0,1,0.4,0.612,1,0,0,0,0,0,0,0,0
103,1,0,4,2,0.0,0.598,0,0,1,0,0,0,0,0,0
104,0,1,0,2,0.9,0.5976,0,0,1,0,0,0,0,0,0
